reviewId,content,clean_content,score,sentiment
61ccddf5-2848-47d6-83a7-434e4e613bfa,Udah sering belanja trs tapi setiap pengajuan tidak lolos trs.. jadi males belanja. Uninstal aja,sering belanja terus tapi tiap aju tidak lolos terus jadi malas belanja uninstal aja,1,Negative
affdfdc0-0a10-4353-8ba9-52a669f8a1ba,Semenjak di upgrade.. SHOPEE JADI LEMOT,semenjak upgrade shopee jadi lambat,1,Negative
f5a73edb-ae1a-4a1b-93a6-aa2a5fe5217e,Penyelesaian masalah sangat buruk,selesai masalah sangat buruk,1,Negative
0ffb52f7-3611-4fd3-a874-6e3ef6ad4fed,Apk engga😇 jls,apk engga jls,1,Negative
c726e46a-3343-4db0-8733-30e8b42d9f1c,Lelet stress. Udah update terbaru tetap aja lemot,lambat stress update baru tetap aja lambat,1,Negative
29d3c910-65ef-42c8-a981-4f6166e1a9e8,Fitur lengkap tapi apk berat,fitur lengkap tapi apk berat,1,Negative
ab854b39-1e02-49fa-9690-dc33b79a882a,Shopee express jasa pengiriman lelet sekali.nyesel pakai shopee express.. masa Jakarta Kalimantan barat lebih dari satu Minggu. Bobrok ni expedisi,shopee express jasa kirim lambat sekali sesal pakai shopee express masa jakarta kalimantan barat lebih satu minggu bobrok ni expedisi,1,Negative
19da8eca-bb77-4790-abb6-f1ff75b25b2b,"Bintang satu aja,,,, karena paylater ku d matikan pihak Shopee,, cuma telat berapa hari,,, dan yg penting d bayar juga kan,,, terimakasih",bintang satu aja paylater ku d mati pihak shopee cuma telat berapa hari penting d bayar kan terimakasih,1,Negative
218eb626-8a79-4481-9744-e4035473bf4a,Ga Kya dlu ada akun ff nya,tidak kya dlu akun ff nya,1,Negative
44cec607-8edf-47aa-9a65-48a8e3ba2161,Aplikasi lemot,aplikasi lambat,1,Negative
708610f0-b02c-4f76-a28d-e134adcbeb64,"Makin lemot saja nih koneksi shopeee, buka toko Merah sebelah aman aman aja",makin lambat nih koneksi shopee buka toko merah belah aman aman aja,1,Negative
6a99aab7-4e96-4d3d-ba49-69dc8e3e63fe,Lemot banget sekarang.,lambat banget sekarang,1,Negative
cbf9cd2d-f242-4ef2-91b3-342486e9593b,"Shopee memang payah,paket sepatu dari Jakarta kebatam,15 hari belum sampai,kurirnya shopee xpress hemat,nggak sesuai dengan namanya,bea 39rb,kurir lain aja 3 hari sudah sampai,malas belanja dishopee sekarang.",shopee memang payah paket sepatu jakarta kebatam hari belum sampai kurir shopee xpress hemat nggak sesuai nama bea rb kurir lain aja hari sampai malas belanja dishopee sekarang,1,Negative
01cbe968-d56c-4e9a-8c18-576fcd3f219c,Apk lintah darat...banyak ongkos tambahan,apk lintah darat banyak ongkos tambah,1,Negative
aaf832fb-034b-42b2-9cd7-0c767008a434,Aplikasi lemot... pencarian tidak akurat... Jelek bgt sekarng.tolong perbaiki agar bintang bisa full,aplikasi lambat cari tidak akurat jelek banget sekarng tolong baik agar bintang bisa full,1,Negative
a7ae664c-81d8-43b3-9cf1-1c8455ae96d4,Notifikasi Shopee video ganggu. Stop jadi TikTok wannabe. Fokus aja ke e-commerce,notifikasi shopee video ganggu stop jadi tiktok wannabe fokus aja e commerce,1,Negative
d7bc37b0-77b1-4db1-a9bd-9c7cca8b90bf,"Kocakk nii asli, spinjam ga bs , skg sppaylater pun di nonaktfkan ga jelas bgt bisa tb2 bgtu. Bukan makin lbh baik stlh di updt malah makin jadi buruk nya hahaa",kocakk nii original spinjam tidak bs skg sppaylater nonaktfkan tidak jelas banget bisa tb bgtu bukan makin lbh baik stlh updt malah makin jadi buruk nya hahaa,1,Negative
